Site,Floor,Row ,Cabinet,Type,Chassis ,Cluster,Hostgroup,RU,Hostname,Slot,Type,Model Name,Serial Number,Commission date,Description,Status
South Data Center,12,K,24-004,Server,PowerEdge M1000e,Prince,dell,U1,c26-02,2,M630,PowerEdge M630,363CS52,1/1/17,Compute Node,Production
South Data Center,12,K,24-004,Server,PowerEdge M1000e,Prince,dell,U1,c26-03,3,M630,PowerEdge M630,361BS52,1/1/17,Compute Node,Production
South Data Center,12,K,24-004,Server,PowerEdge M1000e,Prince,dell,U1,c26-04,4,M630,PowerEdge M630,3619S52,1/1/17,Compute Node,Production
South Data Center,12,K,24-004,Server,PowerEdge M1000e,Prince,dell,U1,c26-05,5,M630,PowerEdge M630,364BS52,1/1/17,Compute Node,Production
South Data Center,12,K,24-004,Server,PowerEdge M1000e,Prince,dell,U1,c26-06,6,M630,PowerEdge M630,360CS52,1/1/17,Compute Node,Production
South Data Center,12,K,24-004,Server,PowerEdge M1000e,Prince,dell,U1,c26-07,7,M630,PowerEdge M630,364CS52,1/1/17,Compute Node,Production
South Data Center,12,K,24-004,Server,PowerEdge M1000e,Prince,dell,U1,c26-07,8,M630,PowerEdge M630,364CS52,1/1/17,Compute Node,Production
South Data Center,12,K,24-004,Server,PowerEdge M1000e,Prince,dell,U1,c26-08,9,M630,PowerEdge M630,361CS52,1/1/17,Compute Node,Production
South Data Center,12,K,24-004,Server,PowerEdge M1000e,Prince,dell,U1,c26-09,10,M630,PowerEdge M630,3639S52,1/1/17,Compute Node,Production
South Data Center,12,K,24-004,Server,PowerEdge M1000e,Prince,dell,U1,c26-10,11,M630,PowerEdge M630,365BS52,1/1/17,Compute Node,Production
South Data Center,12,K,24-004,Server,PowerEdge M1000e,Prince,dell,U1,c26-11,12,M630,PowerEdge M630,362CS52,1/1/17,Compute Node,Production
South Data Center,12,K,24-004,Server,PowerEdge M1000e,Prince,dell,U1,c26-12,13,M630,PowerEdge M630,363BS52,1/1/17,Compute Node,Production
South Data Center,12,K,24-004,Server,PowerEdge M1000e,Prince,dell,U1,c26-13,14,M630,PowerEdge M630,3659S52,1/1/17,Compute Node,Production
South Data Center,12,K,24-004,Server,PowerEdge M1000e,Prince,dell,U1,c26-14,15,M630,PowerEdge M630,3629S52,1/1/17,Compute Node,Production
South Data Center,12,K,24-004,Server,PowerEdge M1000e,Prince,dell,U1,c26-15,16,M630,PowerEdge M630,3649S52,1/1/17,Compute Node,Production
South Data Center,12,K,24-004,Server,PowerEdge M1000e,Prince,dell,U11,c27-01,1,M630,PowerEdge M630,5JN9S52,1/1/17,Compute Node,Production
South Data Center,12,K,24-004,Server,PowerEdge M1000e,Prince,dell,U11,c27-02,2,M630,PowerEdge M630,35Y9S52,1/1/17,Compute Node,Production
South Data Center,12,K,24-004,Server,PowerEdge M1000e,Prince,dell,U11,c27-03,3,M630,PowerEdge M630,35V8S52,1/1/17,Compute Node,Production
South Data Center,12,K,24-004,Server,PowerEdge M1000e,Prince,dell,U11,c27-04,4,M630,PowerEdge M630,35XBS52,1/1/17,Compute Node,Production
South Data Center,12,K,24-004,Server,PowerEdge M1000e,Prince,dell,U11,c27-05,5,M630,PowerEdge M630,35X8S52,1/1/17,Compute Node,Production
